ID,Year_Birth,Age,Education,Marital_Status,Income,Kidhome,Teenhome,TotalChildren,Dt_Customer,Recency,AmtLiq,AmtVege,AmtNonVeg,AmtPes,AmtChocolates,AmtComm,AmtTotal,NumDeals,NumWebBuy,NumWalkinPur,NumVisits,Response,Complain,Country,Count_success
1826,1971,55,Bachelors Degree,Divorced,84835,0,0,0,16/06/2014,0,189,104,379,111,189,218,1190,1,4,6,1,1,0,Spain,0
1,1962,64,Bachelors Degree,Single,57091,0,0,0,15/06/2014,0,464,5,64,7,0,37,577,1,7,7,5,1,0,Canada,1
10476,1959,67,Bachelors Degree,Married,67267,0,1,1,13/05/2014,0,134,11,59,15,2,30,251,1,3,5,2,0,0,United States,0
1386,1968,58,Bachelors Degree,Cohabiting,32474,1,1,2,11/05/2014,0,10,0,1,0,0,0,11,1,1,2,7,0,0,Australia,0
5371,1990,36,Bachelors Degree,Single,21474,1,0,1,08/04/2014,0,6,16,24,11,0,34,91,2,3,2,7,1,0,Spain,1
7348,1959,67,Doctorate (PhD),Single,71691,0,0,0,17/03/2014,0,336,130,411,240,32,43,1192,1,4,5,2,1,0,Spain,0
4073,1955,71,Postgraduate,Married,63564,0,0,0,29/01/2014,0,769,80,252,15,34,65,1215,1,10,7,6,1,0,Germany,1
1991,1968,58,Bachelors Degree,Cohabiting,44931,0,1,1,18/01/2014,0,78,0,11,0,0,7,96,1,2,3,5,0,0,Spain,0
4047,1955,71,Doctorate (PhD),Married,65324,0,1,1,11/01/2014,0,384,0,102,21,32,5,544,3,6,9,4,0,0,United States,0
9477,1955,71,Doctorate (PhD),Married,65324,0,1,1,11/01/2014,0,384,0,102,21,32,5,544,3,6,9,4,0,0,India,0
2079,1948,78,Postgraduate,Married,81044,0,0,0,27/12/2013,0,450,26,535,73,98,26,1208,1,5,10,1,0,0,United States,0
5642,1980,46,Masters Degree,Cohabiting,62499,1,0,1,09/12/2013,0,140,4,61,0,13,4,222,2,3,6,4,0,0,Spain,0
10530,1960,66,Doctorate (PhD),Widow,67786,0,0,0,07/12/2013,0,431,82,441,80,20,102,1156,1,3,6,1,1,0,India,0
2964,1982,44,Bachelors Degree,Married,26872,0,0,0,16/10/2013,0,3,10,8,3,16,32,72,1,1,2,6,0,0,Canada,0
10311,1970,56,Bachelors Degree,Married,4428,0,1,1,05/10/2013,0,16,4,12,2,4,321,359,0,25,0,1,0,0,Spain,0
837,1978,48,Bachelors Degree,Married,54809,1,1,2,11/09/2013,0,63,6,57,13,13,22,174,4,2,5,4,0,0,Spain,0
10521,1978,48,Bachelors Degree,Married,54809,1,1,2,11/09/2013,0,63,6,57,13,13,22,174,4,2,5,4,1,0,Spain,0
10175,1959,67,Doctorate (PhD),Divorced,32173,0,1,1,01/08/2013,0,18,0,2,0,0,2,22,1,1,3,4,0,0,Spain,0
1473,1961,65,Postgraduate,Single,47823,0,1,1,23/07/2013,0,53,1,5,2,1,10,72,2,2,3,8,0,0,Canada,0
2795,1959,67,Masters Degree,Single,30523,2,1,3,01/07/2013,0,5,0,3,0,0,5,13,1,1,2,7,0,0,Canada,0
2285,1955,71,Masters Degree,Cohabiting,36634,0,1,1,28/05/2013,0,213,9,76,4,3,30,335,3,5,5,7,0,0,South Africa,0
115,1967,59,Masters Degree,Single,43456,0,1,1,26/03/2013,0,275,11,68,25,7,7,393,3,5,8,5,0,0,India,0
10470,1980,46,Masters Degree,Married,40662,1,0,1,15/03/2013,0,40,2,23,0,4,23,92,2,2,3,4,0,0,Germany,0
4065,1977,49,Doctorate (PhD),Married,49544,1,0,1,12/02/2013,0,308,0,73,0,0,23,404,2,5,8,7,0,0,Spain,0
10968,1970,56,Bachelors Degree,Single,57731,0,1,1,23/11/2012,0,266,21,300,65,8,44,704,4,8,6,6,0,0,India,0
5985,1966,60,Masters Degree,Single,33168,0,1,1,13/10/2012,0,80,1,37,0,1,3,122,3,2,4,7,0,0,Spain,0
5430,1957,69,Bachelors Degree,Cohabiting,54450,1,1,2,14/09/2012,0,454,0,171,8,19,32,684,12,9,8,8,0,0,Spain,0
453,1957,69,Doctorate (PhD),Widow,35340,1,1,2,29/06/2014,1,27,0,12,0,1,5,45,2,2,3,5,0,0,Spain,0
9687,1976,50,Bachelors Degree,Single,73170,0,0,0,31/05/2014,1,184,174,256,50,30,32,726,1,5,6,2,0,0,Canada,0
8890,1972,54,Doctorate (PhD),Divorced,65808,1,1,2,30/05/2014,1,155,7,80,13,7,10,272,3,5,5,6,0,0,Spain,0
9264,1987,39,Bachelors Degree,Married,79529,0,0,0,27/04/2014,1,423,42,706,73,197,197,1638,1,4,9,2,0,0,Canada,0
5824,1973,53,Doctorate (PhD),Cohabiting,34578,2,1,3,11/04/2014,1,7,0,1,0,0,0,8,1,1,2,6,0,0,Australia,0
5794,1975,51,Doctorate (PhD),Married,46374,0,1,1,17/03/2014,1,408,0,21,0,0,17,446,3,7,7,8,1,0,India,2
3068,1991,35,Bachelors Degree,Married,18351,0,0,0,29/10/2013,1,1,12,9,0,14,7,43,1,2,3,7,0,0,Spain,0
7962,1988,38,Doctorate (PhD),Single,95169,0,0,0,09/10/2013,1,1285,21,449,106,20,20,1901,1,4,4,1,1,0,Spain,2
